@relation TS3-TS6-Pv

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
2868,67488.25,0,1.91958,5114,76839,0.69445,3.14931,5890.5,55809.25,0,2.76257,-0.00095,-0.0008,-0.00357,1.01401,0.99561,0.97438,0,-0.04076,0,0.98809,1.02918,1.01695,Inactive
2866,66597.5,0,2.02381,5054,75519,0.63918,3.30357,5870,56708,0,2.82777,-0.00098,-0.00163,-0.00397,1.00006,0.97812,0.99232,0,-0.09603,0,1.04174,1.0796,1.04095,Inactive
2780,63622,0,2.15713,5133,76336.75,0.582,3.5097,6026,54666.5,0,3.03285,-0.00233,-0.00053,-0.00093,0.95472,0.98837,0.94943,0,-0.15321,0,1.11037,1.14696,1.11644,Inactive
2852,58520.25,0,2.18184,5178.5,76020,0.4846,3.89555,6026,51294.5,0,3.39358,-0.0012,0.0001,-0.00093,0.87354,0.98334,0.88361,0,-0.25061,0,1.12309,1.27306,1.24924,Inactive
3042.5,52043,0,2.61802,5148,72251.25,0.75858,4.38067,5869,44401.25,0,4.20045,0.00179,-0.00033,-0.00399,0.76891,0.93145,0.75212,0,0.02337,0,1.34761,1.43159,1.54626,Inactive
1974,66143.75,0,2.05526,4339,71174,1.62222,3.1937,3959.5,52362.5,0.5811,2.62657,0.0006,-0.00201,-0.00574,1.00033,0.94055,0.94094,0,0.13274,0.5811,1.05235,1.01514,0.96012,Inactive
1842,68349,0.15395,2.14473,4136.5,60687,1.92499,3.52172,3798,48962.25,0.69151,2.8147,-0.00146,-0.00486,-0.00888,1.03677,0.79582,0.87798,0.15395,0.4355,0.69151,1.09816,1.1194,1.02888,Inactive
2137.5,69065,0,2.53846,3998.5,49668.5,3.09794,3.8315,3596,43468.75,1.5166,3.09542,0.00315,-0.0068,-0.01281,1.04332,0.6427,0.77512,0,1.60845,1.5166,1.29976,1.21787,1.1315,Inactive
2106,65553.25,0,3.13934,3942.5,37750.75,4.99363,4.52175,3494,39149.5,3.33059,3.46879,0.00266,-0.00759,-0.01479,0.98907,0.47578,0.69313,0,3.50414,3.33059,1.60743,1.43727,1.26798,Inactive
2026.5,60091.5,0,3.64623,3842,25970,6.683,5.72997,3466,31122,4.56666,4.26595,0.00142,-0.00901,-0.01534,0.90517,0.3114,0.53763,0,5.19351,4.56666,1.86697,1.82131,1.55937,Active
1958,67264.5,0.64397,1.92929,4453.5,72982,1.47762,3.1865,4204,55839.5,0,2.74912,0.00035,-0.0004,-0.00099,1.01805,0.96439,1.00378,0.64397,-0.01187,0,0.98785,1.01285,1.00491,Inactive
2050,74996.5,0.67682,1.928,4431,69220,1.45177,3.27907,4196,59960.75,0,2.73625,0.00178,-0.00072,-0.00115,1.13715,0.91176,1.08405,0.67682,-0.03772,0,0.98719,1.04227,1.00021,Inactive
1872,84047.75,0,2.15879,4398,64489,1.46407,3.67519,4134,68473.5,0.42934,2.70289,-0.00099,-0.00118,-0.00235,1.28102,0.84565,1.25074,0,-0.02542,0.42934,1.10536,1.16818,0.98801,Inactive
2063.5,98134.5,1.62239,2.41002,4342.5,55792,2.28334,4.29346,4098,82499.25,1.25033,2.9358,0.002,-0.00196,-0.00305,1.49763,0.72404,1.5241,1.62239,0.79385,1.25033,1.234,1.3647,1.07315,Inactive
1907,103875,1.36184,3.18786,4306.5,50438,3.40926,5.58564,4061.5,99262.5,3.03259,3.42316,-0.00044,-0.00247,-0.00376,1.58956,0.6492,1.85068,1.36184,1.91978,3.03259,1.63227,1.77543,1.2513,Active
1687,77005,0,2.07647,4266.5,70255.5,1.61385,3.35987,3826,54911,0,2.83454,-0.00017,0.00047,0.00125,1.12469,0.91917,0.94647,-0.42525,0.00142,0,1.05472,1.05323,1.03939,Inactive
1781,89499.5,0,2.23258,4296,68464,1.64801,3.43419,3800,58831.5,0,2.94417,0.00123,0.00088,0.00077,1.30986,0.8938,1.01958,-0.42525,0.03558,0,1.13402,1.07653,1.07959,Inactive
1590,104354.5,0,2.27656,4182,65832.5,1.62865,3.63099,3831.5,63828,0,3.05746,-0.00162,-0.00071,0.00135,1.53453,0.85873,1.11157,-0.42525,0.01622,0,1.15635,1.13822,1.12113,Inactive
1653,143317.5,0,2.32463,4157,61681,1.25438,4.01867,3767,72470,0,3.24845,-0.00068,-0.00106,0.00016,2.11541,0.80126,1.27288,-0.42525,-0.35805,0,1.18077,1.25975,1.19116,Inactive
1755.5,180781,0,2.56631,4091.5,54548,1.14324,4.6575,3645,72145,0,3.5294,0.00085,-0.00197,-0.0021,2.6733,0.70281,1.26912,-0.42525,-0.46918,0,1.30353,1.46001,1.29418,Inactive
1924.5,70093,0.75315,1.98733,4424.5,77491,1.6363,3.30351,3895,56038,0.22678,2.68005,0.00337,0.00267,0.00253,1.01793,1.01775,0.96607,0.3279,0.02387,0.22678,1.00944,1.03557,0.98274,Inactive
1947,71473.5,0.52917,2.09175,4962.5,74607.75,1.79438,3.39595,4117.5,55528,0.5988,2.72736,0.00371,0.01016,0.00665,1.0382,0.97009,0.9525,0.10392,0.18195,0.5988,1.06248,1.06454,1.00009,Inactive
2286.5,72486,1.06951,2.0172,5779.5,72331,2.11085,3.5946,4590,54693,0.64849,2.85567,0.00878,0.02154,0.01541,1.04825,0.927,0.92827,0.64426,0.49843,0.64849,1.02461,1.12681,1.04713,Inactive
2532.5,72832.5,0.54689,2.22844,7424,71466,2.77227,3.96714,5529.5,52803,0.7829,3.08655,0.01245,0.04445,0.03281,1.04976,0.89205,0.87585,0.12164,1.15984,0.7829,1.13191,1.2436,1.1318,Inactive
2120,57987.5,0,1.74641,3820,48532,0.80933,2.70049,4881,53428,0,2.34855,-0.00055,0.0006,0.00257,0.99016,0.62144,0.96133,0,0.2294,0,0.98835,1.01881,0.98364,Inactive
1972,64496.5,0.71261,1.55757,3772,63476,0.47772,2.95523,4653,60057,0,2.35881,-0.00317,-0.00007,-0.00194,1.10815,0.82981,1.09711,0.71261,-0.10222,0,0.88148,1.11491,0.98794,Inactive
2252,82053,0.65389,1.62985,3805,17653,1.48919,5.82167,4837,69256,0,2.41334,0.00179,0.00039,0.0017,1.41435,0.19247,1.27562,0.65389,0.90926,0,0.92238,2.19633,1.01078,Active
2187,60543,0.83641,1.54546,3821,75711,0.71689,2.61858,4651,54329,0,2.3823,0.00064,0.00061,-0.00198,1.03427,0.99918,0.98372,0.83641,0.13696,0,0.87462,0.9879,0.99778,Inactive
1932,58211,0,1.80775,3843,71888,0.65435,2.71374,4740,52728,0.58316,2.19698,-0.00388,0.00092,-0.00022,0.99746,0.94574,0.95026,0,0.07442,0.58316,1.02306,1.02381,0.92016,Inactive
2002,60934,0,1.80663,3619,74858,0.47021,2.64921,4469,55999.5,0,2.3563,-0.00264,-0.0022,-0.00558,1.04448,0.99013,1.02041,0,-0.10972,0,1.02243,0.99946,0.98689,Inactive
1981,58142.5,0.85422,1.51046,3731,73793,0.5943,2.66249,4474,52649,0,2.36517,-0.00301,-0.00064,-0.00549,0.99537,0.97377,0.95396,0.85422,0.01437,0,0.85482,1.00447,0.9906,Inactive
2099,62539,0,1.90831,3660,73399,0.45729,2.69234,4582,55779,0,2.39591,-0.00092,-0.00163,-0.00335,1.0712,0.96928,1.0138,0,-0.12265,0,1.07997,1.01573,1.00348,Inactive
2215,56624,0.85492,1.64722,3713,70496,0.55901,2.70268,4553,52527,0.54592,2.16424,0.00113,-0.00089,-0.00392,0.96431,0.9282,0.94998,0.85492,-0.02093,0.54592,0.93221,1.01963,0.90645,Inactive
2166,50265,0.70106,1.65579,3691,72416,0.6523,2.61723,4557,48131,0,2.37987,0.00027,-0.0012,-0.00384,0.85248,0.95519,0.86285,0.70106,0.07236,0,0.93706,0.9874,0.99676,Inactive
1895,58894,0.57632,1.6431,3498,72497,0.56252,2.63278,4238,54562,0,2.33408,-0.00454,-0.00388,-0.01016,1.01022,0.959,0.99651,0.57632,-0.01742,0,0.92988,0.99326,0.97758,Inactive
2365,60751,0.83272,1.62587,3744,80015,0.55878,2.58447,4633,55473,0,2.34585,0.00379,-0.00046,-0.00234,1.0348,1.06007,1.00673,0.83272,-0.02116,0,0.92013,0.97504,0.98251,Inactive
2101,62343,0,1.83394,3744,79194,0.71147,2.55933,4523,59651,0,2.31615,-0.00089,-0.00046,-0.00451,1.06769,1.04866,1.09164,0,0.13154,0,1.03788,0.96555,0.97007,Inactive
2121,61296,0,1.78473,3672,77800,0.56087,2.62529,4592,55012,0,2.31966,-0.00053,-0.00146,-0.00315,1.04878,1.03029,0.99842,0,-0.01907,0,1.01003,0.99044,0.97154,Inactive
1916,54613,0,1.75573,4204,76914,0.68018,2.72979,4803,53079,0,2.40471,-0.00417,0.00593,0.00103,0.93397,1.01058,0.95596,0,0.10024,0,0.99362,1.02986,1.00716,Inactive
2146,51154,0.97437,1.52981,3771,72672,0.58647,2.66452,4596,50468,0,2.40273,-0.00009,-0.00008,-0.00307,0.86859,0.95764,0.90836,0.97437,0.00654,0,0.86577,1.00524,1.00633,Inactive
1856,60872,0,1.82798,3627,74784,0.6232,2.62969,4436,56207,0,2.33191,-0.00523,-0.00208,-0.00624,1.04597,0.98899,1.02517,0,0.04327,0,1.03451,0.9921,0.97667,Inactive
2051,58756,0.62456,1.66343,3657,73277,0.47801,2.7139,4603,57121,0,2.38511,-0.00177,-0.00167,-0.00293,1.00501,0.96763,1.03996,0.62456,-0.10193,0,0.94139,1.02387,0.99895,Inactive
1656,54956,0,1.70646,3678,69661,0.57771,2.68228,4540,49309.5,0.65333,2.11955,-0.00877,-0.00138,-0.00418,0.94466,0.91708,0.88652,0,-0.00223,0.65333,0.96574,1.01194,0.88773,Inactive
2032,63376,0,1.85828,3712,79637,0.50195,2.6178,4653,59727,0,2.33991,-0.00211,-0.0009,-0.00194,1.08723,1.05526,1.09057,0,-0.07799,0,1.05166,0.98761,0.98002,Inactive
2188,61044,0,1.81802,3815,78346.5,0.48968,2.67419,4721,57112,0,2.35903,0.00066,0.00053,-0.00059,1.04313,1.03589,1.03745,0,-0.09026,0,1.02887,1.00888,0.98803,Inactive
1868,54739,0,1.74323,3686,69880,0.62982,2.67085,4461,50350,0,2.39617,-0.00502,-0.00126,-0.00574,0.93706,0.92001,0.90869,0,0.04989,0,0.98655,1.00762,1.00359,Inactive
2068,54258,0.83131,1.56744,3780,72928,0.60865,2.65339,4708,49115.5,0.65407,2.13269,-0.00147,0.00004,-0.00085,0.92499,0.96107,0.87936,0.83131,0.02872,0.65407,0.88706,1.00104,0.89323,Inactive
2044,55753,0,1.84931,3732,70238,0.71111,2.67801,4737,49971,0.59791,2.20093,-0.0019,-0.00063,-0.00028,0.95191,0.92435,0.89572,0,0.13118,0.59791,1.04658,1.01033,0.92181,Inactive
2310,55506,0.7461,1.67745,3906,76193,0.59018,2.6597,4807,51486,0,2.44294,0.00282,0.00179,0.00111,0.94282,1.0047,0.92434,0.7461,0.01025,0,0.94932,1.00342,1.02317,Inactive
2555,58769,0.67411,1.77762,3813,72032,0.69685,2.6374,4840,51531,0.62165,2.15239,0.00716,0.0005,0.00176,0.9963,0.94816,0.92457,0.67411,0.11692,0.62165,1.00601,0.995,0.90148,Inactive
2073,54642,0.54329,1.70048,3692,68450,0.62325,2.68468,4536,50735,0,2.40641,-0.00138,-0.00118,-0.00426,0.9317,0.90005,0.91483,0.54329,0.04332,0,0.96235,1.01284,1.00787,Inactive
1813,58654,0,1.7684,3580,70296.5,0.57402,2.68381,4416,52053.5,0,2.4065,-0.00599,-0.00274,-0.00663,1.00742,0.92727,0.94332,0,-0.00591,0,1.00079,1.01251,1.00791,Inactive
1957,57532,0,1.78215,3659,71233,0.67566,2.64575,4380,53025.5,0,2.35641,-0.00344,-0.00164,-0.00735,0.98498,0.93919,0.96328,0,0.09572,0,1.00857,0.99816,0.98693,Inactive
1774,57031.5,0,1.74928,3587,71318,0.56778,2.65529,4438,50448,0,2.41132,-0.00668,-0.00264,-0.0062,0.97935,0.94138,0.91109,0,-0.01216,0,0.98997,1.00175,1.00993,Inactive
2338,65304,0,1.83105,3620,85733,0.39434,2.54085,4687,60663,0,2.30434,0.00331,-0.00218,-0.00127,1.11597,1.14127,1.10844,0,-0.1856,0,1.03625,0.95858,0.96512,Inactive
