@relation TS5-Binary-Labeled

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1859,53909.35,1.06072,1.86094,3539.5,75288.65,1.1027,2.98719,4344.5,40756,1.24412,2.63699,0.00194,0.00104,0.00188,0.99781,1.01933,0.99151,0.39607,-0.0125,0.04636,0.92574,1.01291,1.01991,Inactive
1823.5,56309.6,0.99921,1.91925,3502,74099.1,1.69898,2.87146,4253.5,38316.35,1.11546,2.90455,0.00126,0.0005,-0.0006,1.04451,1.00296,0.92756,0.33457,0.58378,-0.08229,0.95475,0.97367,1.1234,Inactive
1569,63233.1,0,2.42048,3379.5,73146.4,2.99189,2.76286,4116.5,34298.7,1.8484,3.31538,-0.00362,-0.00124,-0.00433,1.18211,0.99117,0.82189,-0.66464,1.8767,0.65065,1.20409,0.93685,1.2823,Inactive
1775.5,64676.5,0.58399,2.23813,3437.5,76127.25,1.66121,3.07903,4220.5,42308.15,1.29298,3.12585,0.00034,-0.00041,-0.0015,1.20582,1.03269,1.03716,-0.08066,0.54602,0.09523,1.11338,1.04406,1.20899,Inactive
1677.5,90728.4,0,4.09178,3430,83625,7.77968,4.25898,4209.5,53714.75,7.4528,4.2841,-0.00154,-0.00052,-0.0018,1.70712,1.13932,1.34807,-0.66464,6.66449,6.25505,2.0355,1.44416,1.65697,Active
2646.5,49532,0,1.99729,4061.5,72463,0.907,2.66646,5260,36155.5,0,3.00374,0.00386,0,-0.00105,0.98504,0.98918,0.90053,0,-0.0468,0,1.01853,1.02785,1.03467,Inactive
2588.5,56984,0,2.07505,4079.5,70766,0.69521,3.09311,5209.5,33514.5,0,3.27531,0.00264,0.00026,-0.00252,1.14283,0.96437,0.82503,0,-0.25858,0,1.05818,1.19231,1.12822,Inactive
2413,58651.5,0,2.17891,4010,67376,0.58133,3.62495,5229,28983.9,0,4.06322,-0.00105,-0.00074,-0.00195,1.18155,0.91636,0.6924,0,-0.37246,0,1.11114,1.39732,1.39962,Inactive
2442,56387,0,2.51309,4017.5,63337.9,0.50981,4.41865,5121.5,23433.1,0,5.42034,-0.00044,-0.00064,-0.00509,1.13336,0.85785,0.53374,0,-0.44399,0,1.28156,1.70327,1.8671,Inactive
3227.5,50907.7,0,1.95089,4573,68086.85,0,2.88114,6209.5,38958.5,0,2.79125,-0.00134,-0.00083,-0.00581,1.03557,0.95517,1.00713,0,0,0,0.99054,1.01384,1.01021,Inactive
3263.5,52490.5,0,2.07332,4601.5,69313.9,0.83064,2.85848,6251.5,38716.75,0,3.06609,-0.00055,-0.0004,-0.00452,1.06916,0.97319,0.99841,0,0.83064,0,1.05271,1.00587,1.10968,Inactive
3087,51588,0,2.59021,4564,64674.1,0.44556,3.7978,6136.5,32884.65,0,4.44346,-0.00439,-0.00096,-0.00806,1.0534,0.90398,0.82259,0,0.44556,0,1.31515,1.3364,1.60818,Inactive
3215.5,49551.25,0,1.897,4570,71230.25,0,2.82914,6280,38971.2,0,2.7302,-0.0016,-0.00087,-0.00364,1.00637,1.00248,1.00536,0,0,0,0.96318,0.99554,0.98811,Inactive
3198.5,47479.1,0,1.92388,4574,69837.75,0,2.8448,6238.5,37367.5,0,2.78508,-0.00197,-0.00081,-0.00492,0.96173,0.98148,0.95731,0,0,0,0.97683,1.00105,1.00798,Inactive
3282.5,47082.9,0,1.92404,4624,71249.5,0,2.8351,6286.5,37750.25,0,2.76501,-0.00014,-0.00006,-0.00344,0.9513,1.00196,0.96761,0,0,0,0.97691,0.99764,1.00071,Inactive
3076,48107.25,0,1.88453,4680,70368.15,0,2.83905,6344,38262.25,0,2.71945,-0.00463,0.00078,-0.00168,0.97804,0.98786,0.98159,0,0,0,0.95685,0.99903,0.98422,Inactive
3347.5,46135.5,0,1.98842,4633,70675,0,2.80624,6290,36983.9,0,2.76305,0.00127,0.00008,-0.00334,0.92932,0.99319,0.94393,0,0,0,1.0096,0.98749,1,Inactive
2748.5,23309.25,0,1.91526,5881,76122.75,0,2.44471,1723,4687.25,0.78089,7.56159,-0.00574,0.00062,-0.00324,1.04818,1.02065,1.01152,0,0,0.02879,0.98885,1.00047,0.99292,Inactive
2777,23531,0,1.89092,5906,76125.5,0,2.44812,1784.5,4666.5,0.81668,7.76262,-0.00428,0.00099,0.01774,1.05803,1.02032,0.98345,0,0,0.06458,0.97628,1.00186,1.01932,Inactive
2752.5,23380,0,1.83281,5845.5,76196.75,0,2.43659,1771,4723.25,0.63954,7.9187,-0.00553,0.00011,0.01314,1.05158,1.02224,1.00742,0,0,-0.11256,0.94628,0.99714,1.03982,Inactive
2749,23329,0,1.8494,5746,75917.75,0,2.45928,1768,4648.75,0.77535,7.96764,-0.00571,-0.00134,0.01211,1.04916,1.01963,0.98302,0,0,0.02326,0.95484,1.00643,1.04625,Inactive
3013.5,23776.5,0,1.95694,5921,77153.25,0,2.44779,1827.5,4757.25,0.86469,7.89565,0.00777,0.00121,0.03242,1.05849,1.03504,0.99974,0,0,0.11259,1.01036,1.00173,1.03679,Inactive
2870.5,22752.5,0,1.98,5761,71797.25,0,2.43225,1691.5,4521,0.76938,7.6816,0.00048,-0.00112,-0.01399,1.01357,0.95954,0.96553,0,0,0.01729,1.02227,0.99537,1.00868,Inactive
