@relation TS6-Pf

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1954.5,44467,0.60662,1.87155,4269,73865,1.41343,3.30767,3827.5,29785,1.21839,2.54209,-0.00012,0.00063,0.0005,0.97988,1.0374,0.96285,0.60662,0.29004,0.03725,0.98592,1.02276,1.05144,Inactive
2175.5,45134.5,1.06328,1.8579,4301.5,69317,1.44273,3.22626,3789.5,30470,0.60192,2.89058,0.00498,0.00112,-0.00091,0.99017,0.96913,0.98967,1.06328,0.31935,-0.57921,0.97873,0.99759,1.19557,Inactive
1991,42948.75,0,2.38086,4229.5,73621,2.03099,3.43078,3864.5,31499.5,1.03464,3.31281,0.00073,0.00004,0.00187,0.94404,1.03435,1.02508,0,0.9076,-0.1465,1.25423,1.06083,1.37021,Inactive
2022,33007.75,0,4.07798,4288,72222.25,3.95753,4.83022,3733.5,27941,1.30136,6.6502,0.00144,0.00092,-0.00299,0.7142,1.01263,0.89794,0,2.83415,0.12023,2.14826,1.49355,2.7506,Active
1913.5,45189.5,0.58976,1.803,4124.5,69269,1.48198,3.2585,3735,28358.5,1.14268,2.59255,-0.00106,-0.00152,-0.00293,0.99748,0.97105,0.91337,0.58976,0.3586,-0.03845,0.94981,1.00756,1.07231,Inactive
2071,46948.25,0.54037,2.01814,4154.5,69092,1.56758,3.52821,3721.5,26757,0.9206,3.122,0.00257,-0.00107,-0.00343,1.03438,0.96796,0.85446,0.54037,0.4442,-0.26054,1.06315,1.09096,1.29129,Inactive
1886.5,43725.75,0,2.44003,4209.5,64666.5,2.4721,3.89844,3684.5,21723.5,0.60712,4.23301,-0.00168,-0.00025,-0.0048,0.96436,0.90118,0.66913,0,1.34871,-0.57402,1.2854,1.20544,1.75082,Active
2038,39654.25,0.1505,2.94426,4136.5,57360.25,3.12429,4.71466,3642,18605.5,0.91493,5.45362,0.00181,-0.00134,-0.00638,0.86702,0.79336,0.55505,0.1505,2.00091,-0.2662,1.55102,1.45782,2.25568,Active
2071.5,46221.25,0,2.04135,4205,67916.25,1.35629,3.15705,3731,28877,1.07401,2.44201,0.00258,-0.00032,-0.00308,1.01762,0.94968,0.93275,0,0.23291,-0.10712,1.07538,0.97619,1.01004,Inactive
2056,47030.5,1.10591,1.72655,4247,67897,1.04464,3.26824,3878,28982,1.18553,2.439,0.00222,0.00031,0.00237,1.03663,0.94877,0.93119,1.10591,-0.07874,0.0044,0.90954,1.01057,1.0088,Inactive
