@relation TS6-Test-Pf

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1325.5,55544.25,0,2.29334,3053,73525.75,2.83574,2.9093,3068.5,42849.25,1.53457,2.77302,-0.00227,-0.00145,-0.0054,1.55946,1.1098,1.40923,-0.96345,1.57977,0.46416,1.23909,0.97115,1.12696,Inactive
1365,74848.5,2.13794,2.41855,3065,76594,4.86736,3.18267,3125,53017,3.54935,3.01677,-0.00114,-0.00126,-0.0034,2.11355,1.15793,1.76742,1.1745,3.6114,2.47894,1.30675,1.0624,1.22602,Inactive
1376,80473.75,3.2715,4.26934,3065,88552.5,8.36788,4.84176,2994,71609,7.56015,4.6951,-0.00082,-0.00126,-0.00804,2.27503,1.34625,2.43068,2.30805,7.11192,6.48974,2.30673,1.61623,1.90809,Active
1358,38330.5,0,1.95883,3105.5,66575.25,1.21676,3.04415,3217,33231.5,1.03987,2.50286,-0.00134,-0.00062,-0.00014,1.06341,0.99952,1.06326,-0.96345,-0.03921,-0.03053,1.05836,1.01616,1.01716,Inactive
1355.5,37384,1.06646,1.72519,3097,65651.25,1.39398,2.95014,3189,32065.25,1.04284,2.47332,-0.00141,-0.00076,-0.00113,1.03626,0.9851,1.02294,0.10301,0.13802,-0.02757,0.93212,0.98478,1.00516,Inactive
1361.5,36363.5,0,2.03951,3138.5,67032.25,1.42112,2.94846,3258,31869,0.56127,2.68279,-0.00124,-0.0001,0.00131,1.00674,1.0062,1.01354,-0.96345,0.16515,-0.50914,1.10195,0.98423,1.09029,Inactive
1379,38155.75,0,2.11404,3131,67152.25,1.2859,3.0088,3157.5,32231.5,1.01466,2.47823,-0.00073,-0.00022,-0.00225,1.05778,1.0082,1.02994,-0.96345,0.02993,-0.05574,1.14222,1.00437,1.00715,Inactive
1334,37567.75,0,1.98551,3105.5,66375.5,1.24499,3.02783,3262,32429,1.1299,2.4286,-0.00203,-0.00062,0.00145,1.04217,0.99637,1.03324,-0.96345,-0.01097,0.0595,1.07277,1.01072,0.98699,Inactive
1359.5,37852.5,0.42713,1.95517,3125,66653,1.29997,3.03511,3134,32313.25,0.92824,2.63539,-0.00129,-0.00031,-0.00308,1.04962,1.00044,1.03367,-0.53632,0.04401,-0.14217,1.05638,1.01315,1.07102,Inactive
1397.5,36993.25,1.27734,1.64615,3143,65221.75,1.50028,2.92616,3186.5,32249,0.95745,2.4915,-0.0002,-0.00003,-0.00122,1.02382,0.97761,1.02954,0.31389,0.24432,-0.11295,0.88941,0.97678,1.01255,Inactive
1344,42880.25,0,2.0278,3108,64788,1.51427,2.92332,3194.5,34436.5,0.83117,2.66233,-0.00174,-0.00058,-0.00094,1.19468,0.97133,1.10674,-0.96345,0.25831,-0.23923,1.09562,0.97583,1.08197,Inactive
1405,63480.5,0,2.03765,3103.5,71065.25,1.55344,2.85396,3142.5,46016.5,0.56553,2.70669,0.00001,-0.00065,-0.00278,1.78543,1.07026,1.51881,-0.96345,0.29747,-0.50488,1.10094,0.95268,1.1,Inactive
1365,77064,0,2.1539,3137.5,84437.5,1.48862,2.96589,3232.5,55728.5,0.536,2.76504,-0.00114,-0.00012,0.00041,2.17728,1.28031,1.85966,-0.96345,0.23265,-0.5344,1.16375,0.99004,1.12371,Inactive
1359.5,36170.5,0.97824,1.78521,3128,64386.25,1.36394,3.01679,3177.5,31349.75,1.03584,2.50959,-0.00129,-0.00027,-0.00154,1.00124,0.96469,0.998,0.01479,0.10797,-0.03457,0.96455,1.00703,1.0199,Inactive
1193,36438.25,0,1.91913,3091,66106,1.31317,2.9974,3176,31161,1.10899,2.44397,-0.00608,-0.00085,-0.00159,1.01373,0.99236,0.99137,-0.96345,0.0572,0.03858,1.03691,1.00056,0.99323,Inactive
1412.5,39054.25,0,2.16128,3140,66542.5,1.61246,2.95303,3217,32232.25,1.02278,2.58374,0.00023,-0.00008,-0.00014,1.08266,0.99846,1.02786,-0.96345,0.3565,-0.04763,1.16774,0.98575,1.05003,Inactive
1437,42762.75,0.7732,2.03158,3094.5,66967.5,1.73642,2.94783,3172,31270.75,0.98237,2.85064,0.00093,-0.0008,-0.00174,1.18862,1.00587,0.99539,-0.19024,0.48046,-0.08803,1.09766,0.98401,1.1585,Inactive
1275,49437,1.4763,2.37694,3005,72189.25,3.50454,3.05415,3025,27550.75,2.19822,3.50722,-0.00372,-0.0022,-0.00694,1.38525,1.08951,0.86882,0.51285,2.24857,1.12781,1.28426,1.0195,1.42534,Inactive
1450.5,40304.75,0.22659,2.07783,3166.5,69602.25,1.58496,2.91312,3218,33288.75,0.96709,2.49233,0.00132,0.00034,-0.00011,1.11754,1.04623,1.06525,-0.73686,0.32899,-0.10332,1.12265,0.97243,1.01288,Inactive
1386.5,39899.5,0,1.9552,3124,69890,1.5551,2.9174,3272,33419,0.52105,2.65259,-0.00052,-0.00033,0.00181,1.10772,1.05143,1.06795,-0.96345,0.29913,-0.54936,1.0564,0.97386,1.07801,Inactive
1565.5,39025.75,1.11402,1.78038,3187.5,70150.75,1.32918,2.99728,3262,32886.75,1.02036,2.47429,0.00463,0.00067,0.00145,1.07744,1.05454,1.04945,0.15058,0.07321,-0.05005,0.96194,1.00052,1.00555,Inactive
1427,38415.75,1.16822,1.68777,3164,70050,1.5064,2.92778,3264.5,32337.75,0.54291,2.74555,0.00065,0.0003,0.00154,1.06388,1.05332,1.02992,0.20477,0.25044,-0.5275,0.9119,0.97732,1.11579,Inactive
