@relation Train-TS6-Venus-5

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1587,33467,1.03166,1.9561,3355,64164.2,1.21053,2.86326,3853.5,36856,0.54114,2.62702,0.00271,0.001,0.00315,1.13867,0.9931,0.98661,0.15333,-0.10203,-0.05108,0.95972,1.03046,1.01071,Inactive
1612,31256,0.87023,2.05411,3428.5,71201.8,1.44075,2.79426,4545,37606,1.51628,2.50112,0.00399,0.00267,0.02658,1.02341,1.07171,0.96499,-0.06361,0.08923,0.89102,1.00266,1.00779,0.98158,Inactive
1700,37486.5,1.89667,2.0455,3086.5,66319.5,1.67168,2.74158,3930,39675,1.52058,2.55936,0.01081,-0.00073,0.01748,1.2242,0.99822,1.04158,0.76523,0.07905,0.91961,1.01578,0.99449,0.98573,Inactive
1856,28302.5,1.36608,2.09902,3406,61573,1.43594,2.84017,3785,34215.2,0.62982,2.61814,0.01241,0.00232,0.00439,0.91302,0.9198,0.8882,0.43225,0.08442,0.00456,1.02458,1.02435,1.02751,Inactive
1567.5,29436.2,0.74492,2.07488,3397,69250,1.45088,2.75031,3715.5,37553,0.62487,2.55547,0.00245,0.00217,0.00236,0.96212,1.04134,0.98765,-0.18891,0.09936,-0.0004,1.01279,0.99194,1.00291,Inactive
1482,26070.5,1.43069,1.88809,3177.5,62884.5,1.28031,2.85832,3520,33337.2,0.62768,2.60453,0.00111,-0.00062,0.00102,0.85542,0.9567,0.88054,0.43768,-0.11003,0.01942,0.93471,1.02185,1.01241,Inactive
1340.5,29189.5,1.2745,1.96867,3006.5,64240.8,1.80998,2.66171,3206.5,37225.5,0.82417,2.49577,-0.00082,-0.00121,-0.00077,0.99846,0.97439,1.02058,0.00314,0.06045,0.1322,0.9971,0.98325,0.97922,Inactive
1415,53479.5,1.16246,2.14363,3244.5,55092.2,1.61937,3.03951,3466.5,44942.8,0.606,2.899,-0.00122,0.00045,-0.00056,1.81129,0.83077,1.22484,0.16945,0.22903,-0.00226,1.06122,1.08663,1.12688,Inactive
1417,26244,0.92955,2.01402,3201.5,60844,1.40364,2.75373,3597,34361.8,0.59533,2.58538,-0.00274,-0.00092,-0.00109,0.85711,0.91151,0.89797,-0.00429,0.05212,-0.02994,0.98309,0.99317,1.01465,Inactive
1549,28502,0.57981,2.09685,3472.5,64747.8,1.312,2.8168,4855.5,35973,1.45934,2.49499,0.00136,0.00292,0.03311,0.96269,1.00071,0.93026,-0.29852,-0.00056,0.86712,1.02878,1.01374,0.95992,Inactive
2071.5,46221.25,0,2.04135,4205,67916.25,1.35629,3.15705,3731,28877,1.07401,2.44201,0.00258,-0.00032,-0.00308,1.01762,0.94968,0.93275,0,0.23291,-0.10712,1.07538,0.97619,1.01004,Inactive
1306,28099.2,1.0897,1.96397,3137,64215.8,1.7536,2.69548,3321.5,36131.8,0.60841,2.56789,-0.00267,0.00007,-0.00025,0.91656,0.96421,0.95607,-0.04174,0.16097,0.00744,0.97529,0.97776,0.98902,Inactive
1344,34314.5,0.94126,2.05692,4062,69346,2.66035,2.75582,3178,39248.2,0.77757,2.46451,-0.0007,0.01559,-0.00162,1.18208,1.03883,1.08212,-0.3301,0.91082,0.0856,1.0418,1.01801,0.96696,Inactive
2294.5,26192,2.29344,1.78653,3532,66071,1.85068,2.7603,3767,34170,1.01323,2.53132,0.03115,0.00631,0.01273,0.8175,0.98726,0.88592,1.162,0.25805,0.41226,0.88718,1.00128,0.97493,Inactive
1497,30677,0.9165,1.9774,3289,66905.8,1.32584,2.84386,4364,37099.2,1.45612,2.54531,0.00164,0.00116,0.02594,1.01515,1.01934,0.96671,-0.07651,-0.0645,0.84786,0.97893,1.01668,0.98939,Inactive
1553.5,25499.5,1.82454,1.80049,3500.5,62030,1.93382,2.73987,3427.5,34407.8,0.76823,2.41663,0.0058,0.00581,0.00284,0.81916,0.92397,0.90274,0.6931,0.34119,0.16725,0.89411,0.99387,0.93076,Inactive
1386,30175.2,1.47697,1.80973,3126,64637.8,1.61784,2.66798,3457.5,37737.8,0.59651,2.52019,-0.00223,-0.00145,-0.00083,1.00156,0.98562,1.01234,0.48396,0.2275,-0.01175,0.89592,0.95381,0.97963,Inactive
2029,45735.25,0,1.92823,4250.5,69106.75,1.12328,3.25695,3808,30660.75,1.16261,2.43582,0.0016,0.00036,-0.00022,1.00739,0.96675,0.99606,0,-0.0001,-0.01853,1.01579,1.00708,1.00748,Inactive
1403.5,18753,0.9439,3.09897,3026.5,32361.5,1.32334,4.3436,3096.5,31186,0.68446,3.55283,0.00143,-0.00089,-0.00407,0.62202,0.46679,0.84269,-0.32746,-0.42619,-0.00751,1.56958,1.60455,1.39396,Inactive
1725.25,66903.75,0.77209,1.8975,3901,80186,1.16702,3.13649,3871.25,52042.75,0.90915,2.6482,-0.00044,-0.00021,-0.00012,1.07915,0.89102,1.07126,-0.09587,-0.15678,0.02797,1.0057,1.08478,1.01382,Inactive
1489.5,25697,1.27337,1.77171,3361.5,62155,1.41016,2.84891,3746,34251,0.60974,2.57776,-0.00024,0.00161,0.00325,0.83572,0.92971,0.89038,0.33954,0.05864,-0.01553,0.86481,1.0275,1.01166,Inactive
1424.5,27286,1.11338,2.04881,3213,63576.5,1.88338,2.70445,3277,34138,0.75016,2.56763,0.00219,0.00208,0.00135,0.9272,0.96054,0.92584,-0.15798,0.13385,0.05819,1.03769,0.99904,1.00742,Inactive
1692,31283.8,1.31475,2.04232,3202.5,65808.5,1.39845,2.82792,3538,39002,0.59549,2.58023,0.00842,-0.00022,0.00155,1.02948,1.00315,1.04729,0.32174,0.00811,-0.01277,1.01106,1.01099,1.00297,Inactive
1453.5,30206.8,0.76695,2.02885,3375,67799.8,1.33383,2.7614,3796.5,38578,0.60429,2.58157,-0.00205,0.00133,0.00145,1.027,1.05215,1.03979,-0.11138,0.02127,0.01207,0.99542,0.99381,0.99323,Inactive
1467.5,63672.75,1.37022,1.87513,3461.5,86301.75,2.05275,2.8804,3371,49195.9,1.47737,2.65362,0.00103,-0.00002,0.00318,1.02968,0.976,1.00001,0.06116,0.16134,0.23437,0.97624,0.98729,0.99949,Inactive
1461.5,29152,1.07426,2.17568,3126,63386,1.61692,2.93062,4301.5,37082.5,1.47996,2.70923,0.0004,-0.00145,0.0241,0.96333,0.96556,0.96806,0.08125,0.22658,0.8717,1.07709,1.0477,1.05311,Inactive
1603,24932.5,1.0701,2.04111,3407,66201,1.29292,2.85679,3793,33448,0.62218,2.58919,0.00368,0.00233,0.00463,0.80541,0.99297,0.86557,0.13627,-0.0586,-0.00309,0.99631,1.03034,1.01615,Inactive
762,49774,1.76398,2.02478,2686.5,65165,3.25049,3.13312,1078.5,23291.5,1.677,2.82486,0.00255,0.00115,0.00107,2.40603,1.37288,2.25501,0.27886,0.06157,0.02718,0.98958,1.00788,0.96399,Inactive
1493,31674.2,1.55623,1.9175,3095,69002.5,1.75924,2.66067,3229.5,38340,0.62432,2.51616,0.00464,0.0002,-0.00008,1.08207,1.04876,1.05333,0.28487,0.00971,-0.06765,0.97119,0.98286,0.98722,Inactive
