@relation Train-TS7-Sapphire-4

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1912,48848,0,1.99135,3312,65808.75,1.10144,3.02661,3940.5,21035.5,0.48749,3.46995,0.00206,0.00015,0.00187,1.05582,0.99628,0.98298,0,0.02251,-0.47614,1.08079,1.01264,1.08919,Inactive
2295,45842,0,1.90661,3235,60192,0.93307,2.72805,4740,23697,0,3.50131,-0.00095,-0.00093,-0.00502,0.96644,0.96682,0.93258,0,0.16361,0,1.00153,0.9896,1.05801,Inactive
2196,40252,0,1.95177,3147,62595.5,0.92815,2.78258,4620,24762,0,3.33586,0.00278,0.00086,0.00811,0.81551,0.98932,0.9472,0,0.11373,0,1.01923,0.99341,0.97989,Inactive
1892,44856,0,1.89644,3080,59361,1.08146,2.65654,4532,24970.5,0,3.40338,-0.00561,-0.00186,-0.00422,0.93039,0.93095,0.97406,0,0.23549,0,0.9925,0.96187,1.00819,Inactive
1543,46194.5,0,1.82329,3064,60533,1.09863,2.74395,4302,24213,0,3.49461,-0.01122,-0.00052,-0.00684,0.95685,0.95638,0.93634,0,0.28421,0,0.95213,0.97962,1.02652,Inactive
2704,46645.75,0,2.03492,3761.5,65792.5,0.43074,2.85762,4442.5,20781.5,0,3.44076,0.00201,0.00009,-0.00723,1.01573,1.00005,0.96432,0,-0.45129,0,1.0891,1.08551,1.01038,Inactive
2256,43062,0,1.91687,3432,61900,0.86131,2.57072,5089,24984.5,0,3.21705,-0.00621,-0.00018,-0.00474,0.9087,0.96479,0.97182,0,0.12573,0,1.00248,0.94439,0.98381,Inactive
2611.5,45438.25,0,1.92081,3737,65564.25,0,3.06607,4585,21559.5,0,3.37966,-0.00013,-0.00031,0.00118,0.98996,0.99676,1.00183,0,-0.88203,0,1.02803,1.16469,0.99244,Inactive
2004,47427.5,1.51341,1.34297,3042,60876,0.85441,2.84217,4385,24565,0,3.46455,-0.00134,-0.00089,-0.00294,0.9734,0.96246,0.94899,1.51341,0.03999,0,0.70131,1.01469,1.01769,Inactive
2774,45262.5,0,2.03085,3313,60295.5,0.79054,2.64056,5140,24416,0,3.43101,0.00266,-0.00299,-0.00433,1.0083,0.97828,0.98222,0,0.1085,0,1.06231,0.94855,1.04197,Inactive
1808,42449,0,2.06378,2975,54189,0.87887,2.94056,4216,24378.5,0,3.57855,-0.00554,-0.00201,-0.01089,0.87091,0.85229,0.94817,0,0.06445,0,1.07772,1.04981,1.05118,Inactive
1997,45686,0,2.05025,3072,60112.5,0.90543,2.80453,4432,23454.5,0,3.57354,-0.00333,-0.00199,-0.00898,0.94609,0.94352,0.90658,0,0.05945,0,1.07299,1.01545,1.0586,Inactive
1984,46853.5,0,2.40594,3090,83185.5,1.31858,2.98369,4284,20311,0,4.25545,-0.00177,-0.00009,-0.00769,0.96152,1.33293,0.75369,0,0.50416,0,1.2564,1.06521,1.25002,Inactive
2392,47276.5,0,1.81965,3312,63693,0.88191,2.70025,4879,25801,0,3.13975,0.0012,0.00037,0.00182,0.99613,1.02494,1.02925,0,0.11245,0,0.95585,0.97952,0.94875,Inactive
2727,46319,0,2.11437,3467,60051.5,0.7788,2.78607,5156,24432,0,3.3468,0.00154,-0.00034,-0.00352,1.03449,0.97145,0.98222,0,0.09676,0,1.106,1.00082,1.0164,Inactive
