@relation Train-TS6-Venus-6

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1420.5,28761.8,1.23464,1.99625,3101,63469.8,1.67165,2.74781,3265,35223.5,0.6793,2.57228,0.00125,-0.0005,-0.00189,0.9353,0.953,0.93125,0.1032,0.07902,0.07832,0.99132,0.99675,0.99071,Inactive
1630,30107,1.17351,2.03343,3301.5,65798,1.29902,2.82372,4529.5,37222,1.51907,2.50466,0.00425,0.00013,0.02336,1.01713,1.02066,0.97734,0.29518,-0.01354,0.92685,0.99766,1.01623,0.96364,Inactive
1432.5,25131.8,1.10643,1.9266,3301.5,65133,1.29805,2.77299,3722,33273,0.6185,2.60807,-0.00221,0.00066,0.00255,0.81818,0.97775,0.86254,0.1726,-0.05347,-0.00676,0.94042,1.00012,1.02356,Inactive
1280,15101.5,1.2029,2.18497,3022,33127.5,1.33607,3.58865,3184,34508.8,0.66624,2.89439,-0.00299,-0.00096,-0.00144,0.49554,0.47906,0.93975,-0.06846,-0.41346,-0.02573,1.10666,1.32566,1.13562,Inactive
1384.5,62784.5,1.20648,1.91716,3603.5,80142.25,1.99358,2.92284,3351,44872.9,1.22051,2.69268,-0.00034,0.00166,0.00274,1.01635,0.90176,0.9061,-0.10259,0.10218,-0.02249,0.99812,1.00183,1.0142,Inactive
2055,44985.75,0.74427,1.71655,4243.5,70731,1.3454,3.18829,3832,30172.75,1.09344,2.47638,0.0022,0.00025,0.00067,0.98952,0.99107,0.97707,0.74427,0.22202,-0.08769,0.90427,0.98585,1.02426,Inactive
1288,26666,1.21943,2.00357,2941.5,63041.2,1.63868,2.71895,3232.5,34702.8,0.77747,2.52509,-0.00271,-0.00224,0.00002,0.90987,0.95634,0.94412,-0.05193,-0.11085,0.0855,1.01478,1.00439,0.99072,Inactive
1466,30736,0.90511,1.9978,3270.5,71175.2,1.3268,2.74962,4545,39535,1.53637,2.40924,-0.00105,0.00017,0.02658,1.0105,1.07379,1.02129,-0.02873,-0.02472,0.91111,0.97517,0.99169,0.94552,Inactive
1403.5,30758.5,1.14595,1.87851,3267,62149,1.77521,2.63424,4219,35926.5,1.54628,2.45501,-0.00321,0.00012,0.01706,1.01343,0.93111,0.92548,0.21212,0.42369,0.92102,0.91694,0.95008,0.96349,Inactive
1748,27760.5,1.95154,2.01889,3393,63608.5,2.05367,2.72806,3442,36104,0.79492,2.59317,0.01245,0.00411,0.00326,0.88985,0.95058,0.95175,0.8201,0.46104,0.19394,1.00257,0.98958,0.99875,Inactive
1332,25076.5,1.35489,1.93673,3178,58278,2.07589,2.80191,3286.5,29749,1.34052,2.56011,-0.00568,-0.00129,-0.01016,0.81974,0.8713,0.77239,0.42106,0.72437,0.71526,0.94536,1.01055,1.00473,Inactive
1477.75,80208.25,1.40243,2.04737,3529,77289.4,1.91269,3.36081,3245.5,58253,1.59134,2.69496,0.0012,0.00078,0.00044,1.30322,0.86902,1.20039,0.09336,0.02129,0.34834,1.06591,1.15195,1.01506,Inactive
1468,27515.5,1.71011,1.85989,3198,56542.5,1.67004,2.9931,3202,33312.2,0.70981,2.60415,0.00375,0.00184,-0.0009,0.93387,0.84885,0.90332,0.43875,-0.07949,0.01784,0.94201,1.10566,1.02174,Inactive
1548,27840.8,1.23407,1.97361,3269.5,62264.2,1.42774,2.77485,3540.5,35663.8,0.5415,2.5765,0.00178,0.00016,-0.00274,0.90771,0.93289,0.93762,0.30024,0.07622,-0.08377,0.96336,1.00079,1.01117,Inactive
1566.5,33893,0.94436,1.98996,3371,72465.5,1.35083,2.6828,3869.5,40660.8,0.60408,2.52933,0.00198,0.00127,0.00363,1.15462,1.12841,1.09987,0.06602,0.03827,0.01186,0.97634,0.96552,0.97313,Inactive
1290,27611.5,1.21327,1.91452,3149,62333.5,1.74239,2.71631,3289.5,34993,0.6092,2.54078,-0.00322,0.00026,-0.00118,0.90042,0.93431,0.92382,0.08183,0.14976,0.00822,0.95074,0.98532,0.97857,Inactive
1400,33484,1.09582,2.03536,3261.5,57911,1.45517,2.91157,3556,39935,0.56979,2.69235,-0.00333,0.00003,-0.00229,1.10764,0.86418,1.06184,0.16199,0.10365,-0.05548,0.9935,1.0501,1.05663,Inactive
1502.5,30465,1.18316,2.04779,3179,67083.5,1.68514,2.72657,3418,37855.5,0.62593,2.58646,0.00498,0.00154,0.00558,1.03838,1.01688,1.03314,-0.0882,-0.06439,-0.06604,1.03718,1.00721,1.0148,Inactive
2006.5,25213.2,2.05597,1.95303,3327.5,62950.5,1.88619,2.70402,3422.5,34164.8,0.611,2.53836,0.02129,0.00308,0.0027,0.79387,0.94123,0.89581,0.92453,0.29356,0.01003,0.96986,0.98086,0.97764,Inactive
1391.5,25923.8,1.34874,1.89923,3162,61304,1.57752,2.76266,4340,34712.2,1.48353,2.54262,-0.00204,-0.00087,0.02523,0.85346,0.93162,0.89693,0.35573,0.18718,0.87527,0.94023,0.98766,0.98835,Inactive
1661,29381.2,1.59083,1.92488,3343,70290.8,1.65826,2.71516,3569,35704,0.65193,2.57819,0.00734,0.00203,0.00247,0.96437,1.07272,0.94898,0.59782,0.26792,0.04367,0.95293,0.97067,1.00217,Inactive
1594,28965,1.00036,2.07591,3261.5,64367,1.31303,2.72558,3691.5,36324,0.55412,2.59198,0.00296,-0.00052,-0.00169,0.97762,0.99794,0.97555,0.12203,0.00047,-0.0381,1.01851,0.98091,0.99723,Inactive
1563,34526.5,0.74385,1.83965,3218,64522,1.00519,3.02925,3377.5,30517,1.05451,2.43692,0.00265,-0.00057,-0.00067,0.99415,0.97839,1.00511,0.74385,-0.01048,0.17492,0.98175,0.99199,0.96232,Inactive
1526,27468,0.87718,2.16951,3210.5,60281,1.42187,2.80904,3442.5,34366.5,0.64035,2.54964,0.00102,-0.00077,-0.0056,0.8956,0.90246,0.90261,-0.05665,0.07035,0.01508,1.05898,1.01312,1.00062,Inactive
1470,26419.5,1.58635,1.90682,3103.5,62788,1.6259,2.74631,4143.5,33897,1.52896,2.49963,0.00294,-0.00046,0.0237,0.85348,0.9422,0.86699,0.45491,0.03327,0.92799,0.94691,0.9962,0.96273,Inactive
