Key_Dataset,Key_Scheme,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Percent_correct,Percent_incorrect,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall
TS7-Labeled,weka.classifiers.bayes.NaiveBayes,897,461,446,15,96.7462039046,3.2537960954,0.9777282851,439,0,0,1,12,0.0222717149,10,1,0.9777282851
TS6-Labeled,weka.classifiers.bayes.NaiveBayes,967,499,477,22,95.5911823647,4.4088176353,0.9690721649,470,0.2142857143,3,0.7857142857,11,0.0309278351,15,0.9936575053,0.9690721649
TS5-Labeled,weka.classifiers.bayes.NaiveBayes,939,485,464,21,95.6701030928,4.3298969072,0.965738758,451,0.0555555556,1,0.9444444444,17,0.034261242,16,0.9977876106,0.965738758
TS4-Labeled,weka.classifiers.bayes.NaiveBayes,859,443,435,8,98.1941309255,1.8058690745,0.9930394432,428,0,0,1,12,0.0069605568,3,1,0.9930394432
TS3-Labeled,weka.classifiers.bayes.NaiveBayes,908,469,450,19,95.9488272921,4.0511727079,0.9714912281,443,0.0769230769,1,0.9230769231,12,0.0285087719,13,0.9977477477,0.9714912281
TS7-Labeled,weka.classifiers.lazy.IBk,897,461,457,4,99.1323210412,0.8676789588,1,449,0.3333333333,4,0.6666666667,8,0,0,0.9911699779,1
TS6-Labeled,weka.classifiers.lazy.IBk,967,499,491,8,98.3967935872,1.6032064128,0.9979381443,484,0.5,7,0.5,7,0.0020618557,1,0.9857433809,0.9979381443
TS5-Labeled,weka.classifiers.lazy.IBk,939,485,475,10,97.9381443299,2.0618556701,1,467,0.5555555556,10,0.4444444444,8,0,0,0.9790356394,1
TS4-Labeled,weka.classifiers.lazy.IBk,859,443,438,5,98.8713318284,1.1286681716,1,431,0.4166666667,5,0.5833333333,7,0,0,0.9885321101,1
TS3-Labeled,weka.classifiers.lazy.IBk,908,469,465,4,99.1471215352,0.8528784648,1,456,0.3076923077,4,0.6923076923,9,0,0,0.9913043478,1
TS7-Labeled,weka.classifiers.trees.J48,897,461,456,5,98.9154013015,1.0845986985,0.9933184855,446,0.1666666667,2,0.8333333333,10,0.0066815145,3,0.9955357143,0.9933184855
TS6-Labeled,weka.classifiers.trees.J48,967,499,488,11,97.7955911824,2.2044088176,0.9896907216,480,0.2857142857,4,0.7142857143,10,0.0103092784,5,0.9917355372,0.9896907216
TS5-Labeled,weka.classifiers.trees.J48,939,485,478,7,98.5567010309,1.4432989691,1,467,0.1666666667,3,0.8333333333,15,0,0,0.9936170213,1
TS4-Labeled,weka.classifiers.trees.J48,859,443,438,5,98.8713318284,1.1286681716,1,431,0.4166666667,5,0.5833333333,7,0,0,0.9885321101,1
TS3-Labeled,weka.classifiers.trees.J48,908,469,467,2,99.5735607676,0.4264392324,1,456,0.1538461538,2,0.8461538462,11,0,0,0.9956331878,1
