plate,well-row,well-column,id_mixture,id_chemical         ,compound common name,SMILES,cherry_testname     ,cherry-error-code     ,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire_testname  ,sapphire-error-code  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus_testname     ,venus-error-code    ,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,concentration
2845,A,2,2.01E+11,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,2120,57987.5,0,1.74641,SAPPHIRE405X384,0,3820,48532,0.809333,2.70049,VENUS500X384,0,4881,53428,0,2.34855,
2845,O,2,2.01E+11,516,Trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHERRY580X384,0,1972,64496.5,0.712606,1.55757,SAPPHIRE405X384,0,3772,63476,0.477717,2.95523,VENUS500X384,0,4653,60057,0,2.35881,
2845,C,2,2.01E+11,978,Pyrimethamine,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,CHERRY580X384,0,2252,82053,0.653885,1.62985,SAPPHIRE405X384,0,3805,17653,1.48919,5.82167,VENUS500X384,0,4837,69256,0,2.41334,
2845,A,1,2.01E+11,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2346,68857,0,1.87845,SAPPHIRE405X384,0,3871,81250,0.550143,2.65226,VENUS500X384,0,4760,61204,0,2.37076,
2845,A,23,2.01E+11,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2363,64297.5,0,1.84832,SAPPHIRE405X384,0,3684,84284,0.571997,2.50368,VENUS500X384,0,4632,59571,0,2.29368,
2845,A,24,2.01E+11,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2209,65972,0,1.79307,SAPPHIRE405X384,0,3937,85619,0.56517,2.58434,VENUS500X384,0,4965,61664,0,2.37744,
2845,B,1,2.01E+11,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2268,61679,0.773,1.5981,SAPPHIRE405X384,0,3912,80054,0.561178,2.65531,VENUS500X384,0,4817,57620,0,2.37879,
2845,B,2,2.01E+11,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2249,62722,0.65327,1.66173,SAPPHIRE405X384,0,3823,78997,0.546252,2.65064,VENUS500X384,0,4768,56105,0,2.39642,
2845,B,23,2.01E+11,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2272,60132,0,1.921,SAPPHIRE405X384,0,3872,80150.5,0.533373,2.62257,VENUS500X384,0,4775,55596,0,2.37406,
2845,B,24,2.01E+11,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2492,63759,0.910245,1.55702,SAPPHIRE405X384,0,3792,82699,0.452475,2.6007,VENUS500X384,0,4816,56810,0,2.35756,
