ID Chemical,Actual Class,J48 Prediction,NB Prediction,IBk5 Prediction,SVM Prediction
20134,Inactive,Inactive,Inactive,Inactive,Inactive
20134,Inactive,Inactive,Inactive,Inactive,Inactive
20134,Inactive,Inactive,Inactive,Inactive,Inactive
20134,Inactive,Inactive,Inactive,Inactive,Inactive
20134,Inactive,Inactive,Inactive,Inactive,Inactive
20449,Inactive,Inactive,Inactive,Inactive,Inactive
20449,Inactive,Inactive,Inactive,Inactive,Inactive
20449,Inactive,Inactive,Inactive,Inactive,Inactive
20449,Inactive,Inactive,Inactive,Inactive,Inactive
20449,Inactive,Inactive,Inactive,Inactive,Inactive
20472,Inactive,Inactive,Inactive,Inactive,Inactive
20472,Inactive,Inactive,Inactive,Inactive,Inactive
20472,Inactive,Inactive,Inactive,Inactive,Inactive
20472,Inactive,Inactive,Inactive,Inactive,Inactive
20472,Inactive,Inactive,Inactive,Inactive,Inactive
20565,Inactive,Inactive,Inactive,Inactive,Inactive
20565,Inactive,Inactive,Inactive,Inactive,Inactive
20565,Inactive,Inactive,Inactive,Inactive,Inactive
20565,Inactive,Inactive,Inactive,Inactive,Inactive
20565,Inactive,Inactive,Inactive,Inactive,Inactive
21163,Inactive,Inactive,Inactive,Inactive,Inactive
21163,Inactive,Inactive,Inactive,Inactive,Inactive
21163,Inactive,Inactive,Inactive,Inactive,Inactive
21163,Inactive,Inactive,Inactive,Inactive,Inactive
21163,Inactive,Inactive,Inactive,Inactive,Inactive
21216,Inactive,Inactive,Inactive,Inactive,Inactive
21216,Inactive,Inactive,Inactive,Inactive,Inactive
21216,Inactive,Inactive,Inactive,Inactive,Inactive
21216,Inactive,Inactive,Inactive,Inactive,Inactive
21216,Inactive,Inactive,Inactive,Inactive,Inactive
21619,Inactive,Inactive,Inactive,Inactive,Inactive
21619,Inactive,Inactive,Inactive,Inactive,Inactive
21619,Inactive,Inactive,Inactive,Inactive,Inactive
21619,Inactive,Inactive,Inactive,Inactive,Inactive
21619,Inactive,Inactive,Inactive,Inactive,Inactive
21767,Inactive,Inactive,Inactive,Inactive,Inactive
21767,Inactive,Inactive,Inactive,Inactive,Inactive
21767,Inactive,Inactive,Inactive,Inactive,Inactive
21767,Inactive,Inactive,Inactive,Inactive,Inactive
21767,Inactive,Inactive,Inactive,Inactive,Inactive
21094,Inactive,Inactive,Inactive,Inactive,Inactive
21094,Inactive,Inactive,Inactive,Inactive,Inactive
21094,Inactive,Inactive,Inactive,Inactive,Inactive
21094,Inactive,Inactive,Inactive,Inactive,Inactive
21094,Inactive,Inactive,Inactive,Inactive,Inactive
21623,Inactive,Inactive,Inactive,Inactive,Inactive
21623,Inactive,Inactive,Inactive,Inactive,Inactive
21623,Inactive,Inactive,Inactive,Inactive,Inactive
21623,Inactive,Inactive,Inactive,Inactive,Inactive
21623,Inactive,Inactive,Inactive,Inactive,Inactive
20110,Inactive,Inactive,Inactive,Inactive,Inactive
20110,Inactive,Inactive,Inactive,Inactive,Inactive
20110,Inactive,Inactive,Inactive,Inactive,Inactive
20110,Inactive,Inactive,Inactive,Inactive,Inactive
20110,Inactive,Inactive,Inactive,Inactive,Inactive
20248,Inactive,Inactive,Inactive,Inactive,Inactive
20248,Inactive,Inactive,Inactive,Inactive,Inactive
20248,Inactive,Inactive,Inactive,Inactive,Inactive
20248,Inactive,Inactive,Inactive,Inactive,Inactive
20248,Inactive,Inactive,Inactive,Inactive,Inactive
20484,Inactive,Inactive,Inactive,Inactive,Inactive
20484,Inactive,Inactive,Inactive,Inactive,Inactive
20484,Inactive,Inactive,Inactive,Inactive,Inactive
20484,Inactive,Inactive,Inactive,Inactive,Inactive
20484,Inactive,Inactive,Inactive,Inactive,Inactive
20110,Inactive,Inactive,Inactive,Inactive,Inactive
20110,Inactive,Inactive,Inactive,Inactive,Inactive
20110,Inactive,Inactive,Inactive,Inactive,Inactive
20110,Inactive,Inactive,Inactive,Inactive,Inactive
20110,Inactive,Inactive,Inactive,Inactive,Inactive
20153,Inactive,Inactive,Inactive,Inactive,Inactive
20153,Inactive,Inactive,Inactive,Inactive,Inactive
20153,Inactive,Inactive,Inactive,Inactive,Inactive
20153,Inactive,Inactive,Inactive,Inactive,Inactive
20153,Inactive,Inactive,Inactive,Inactive,Inactive
20248,Inactive,Inactive,Inactive,Inactive,Inactive
20248,Inactive,Inactive,Inactive,Inactive,Inactive
20248,Inactive,Inactive,Inactive,Inactive,Inactive
20248,Inactive,Inactive,Inactive,Inactive,Inactive
20248,Inactive,Inactive,Inactive,Inactive,Inactive
20484,Inactive,Inactive,Inactive,Inactive,Inactive
