plate,well-row,well-column,id_mixture,id_chemical         ,compound common name,SMILES,cherry_testname     ,cherry-error-code     ,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire_testname  ,sapphire-error-code  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus_testname     ,venus-error-code    ,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,plate layout,study,volume,concentration
3554,A,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2244,35023,0,2.08749,SAPPHIRE405X384,0,4428,68178,0.948014,2.982,VENUS500X384,0,4319,34088,0,2.57391,2105,1530,0,0
3554,A,7,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1730,29441,0,1.89186,SAPPHIRE405X384,0,4452,67443.5,0,3.3847,VENUS500X384,0,4431,31996,0,2.65232,2105,1530,0,0
3554,A,8,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1805,32936,0,1.98422,SAPPHIRE405X384,0,4213,62891,1.13673,2.94599,VENUS500X384,0,4143,31460,0,2.76922,2105,1530,0,0
3554,A,9,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1725,30524,0,1.98635,SAPPHIRE405X384,0,4237,64875,0.936633,2.9797,VENUS500X384,0,4196,31962,0,2.75804,2105,1530,0,0
3554,A,15,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1599,30914,0,1.89727,SAPPHIRE405X384,0,4572,64213,1.08592,2.97551,VENUS500X384,0,4598,31456,0,2.64418,2105,1530,0,0
3554,A,16,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1760,30256,1.62806,1.17221,SAPPHIRE405X384,0,4396,64133,1.18251,2.93584,VENUS500X384,0,4347,30995,0,2.61943,2105,1530,0,0
3554,A,17,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1868,30715,0,1.85381,SAPPHIRE405X384,0,4184,65056.5,0,3.3074,VENUS500X384,0,4241,31134,0,2.55389,2105,1530,0,0
3554,A,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1914,34782.5,0,1.94659,SAPPHIRE405X384,0,4392,69069,0.913006,2.9398,VENUS500X384,0,4504,34832,0,2.79093,2105,1530,0,0
3554,A,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2020,34209,0,2.00697,SAPPHIRE405X384,0,4483,69652,0.878299,2.98954,VENUS500X384,0,4494,33644,0,2.80877,2105,1530,0,0
3554,B,6,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1892,28048,0,2.20825,SAPPHIRE405X384,0,4316,63352.5,1.24123,2.93848,VENUS500X384,0,4236,30149,0,2.71755,2105,1530,0,0
3554,B,7,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1858,29553,1.62806,1.31598,SAPPHIRE405X384,0,4163,61476.5,0,3.39704,VENUS500X384,0,3988,30104,0,2.61141,2105,1530,0,0
3554,B,8,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1753,28394,0,2.12225,SAPPHIRE405X384,0,4092,62882.5,1.06095,2.90035,VENUS500X384,0,4067,29524,0,2.65089,2105,1530,0,0
3554,B,14,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2252,29710,1.62806,1.33652,SAPPHIRE405X384,0,4426,64044,1.14707,2.91559,VENUS500X384,0,4268,30078,0,2.62265,2105,1530,0,0
3554,B,15,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1752,27620,0,2.04406,SAPPHIRE405X384,0,4333,61939,1.16656,2.93001,VENUS500X384,0,4445,30128,0,2.68813,2105,1530,0,0
3554,B,16,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1838,28885,0,2.06539,SAPPHIRE405X384,0,4298,62797.5,1.03608,2.95154,VENUS500X384,0,4372,31108,0,2.8096,2105,1530,0,0
3554,B,22,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1592,30753,0,1.76248,SAPPHIRE405X384,0,4462,67546.5,1.11719,2.8892,VENUS500X384,0,4429,31941,0,2.64291,2105,1530,0,0
3554,B,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1734,31759,0,1.82746,SAPPHIRE405X384,0,4410,65768,0,3.38845,VENUS500X384,0,4472,32256,0,2.65971,2105,1530,0,0
3554,B,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1609,32783,0,1.74281,SAPPHIRE405X384,0,4597,69221,1.17621,2.92059,VENUS500X384,0,4457,32853.5,0,2.8234,2105,1530,0,0
3554,D,4,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1763,27442,1.62806,1.2908,SAPPHIRE405X384,0,4338,61627,1.30787,2.92203,VENUS500X384,0,4189,30631,0,2.79665,2105,1530,0,0
3554,D,5,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1844,27401,1.62806,1.40162,SAPPHIRE405X384,0,4304,62112,1.1041,2.97897,VENUS500X384,0,4185,30192,0,2.62409,2105,1530,0,0
3554,D,6,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1818,26648,0,2.06295,SAPPHIRE405X384,0,4295,61856,1.12463,2.97825,VENUS500X384,0,4115,29113,0,2.64684,2105,1530,0,0
3554,D,12,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1816,26984.5,0,1.96842,SAPPHIRE405X384,0,4239,59779,1.27069,2.87873,VENUS500X384,0,4206,27497,0,2.73433,2105,1530,0,0
3554,D,13,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1749,26154,0,2.12088,SAPPHIRE405X384,0,4232,60299,1.18727,2.91484,VENUS500X384,0,4290,28585,0,2.72541,2105,1530,0,0
3554,D,14,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1658,28498,0,1.92669,SAPPHIRE405X384,0,4275,59863,1.14799,2.98956,VENUS500X384,0,4084,29288,0,2.67089,2105,1530,0,0
3554,D,20,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1860,30101,1.60851,1.31516,SAPPHIRE405X384,0,4292,62339,1.1766,2.92295,VENUS500X384,0,4220,30180,0,2.80496,2105,1530,0,0
3554,D,21,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1822,28376,1.62806,1.2207,SAPPHIRE405X384,0,4348,61696,1.26648,2.88173,VENUS500X384,0,4294,30223,0,2.84813,2105,1530,0,0
3554,D,22,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1852,32270.5,0,2.05505,SAPPHIRE405X384,0,4332,64781.5,1.14733,2.90366,VENUS500X384,0,4395,31399,0,2.82281,2105,1530,0,0
3554,E,3,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1988,28959,0,2.08796,SAPPHIRE405X384,0,4556,63039,1.06815,2.99734,VENUS500X384,0,4387,29692,0,2.71528,2105,1530,0,0
3554,E,4,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1844,27816,0,1.95574,SAPPHIRE405X384,0,4452,62732,1.15095,2.95311,VENUS500X384,0,4458,30097,0,2.72324,2105,1530,0,0
