id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus
20561_b83bee1b-239b-4031-a279-3e4f819e220c, 1859.00000, 53909.35000, 1.06072, 1.86094, 3539.50000, 75288.65000, 1.10270, 2.98719, 4344.50000, 40756.00000, 1.24412, 2.63699, 0.00194, 0.00104, 0.00188, 0.99781, 1.01933, 0.99151, 0.39607, -0.01250, 0.04636, 0.92574, 1.01291, 1.01991
20561_a7097fa1-3b62-455c-beae-d899e6706098, 1823.50000, 56309.60000, 0.99921, 1.91925, 3502.00000, 74099.10000, 1.69898, 2.87146, 4253.50000, 38316.35000, 1.11546, 2.90455, 0.00126, 0.00050, -0.00060, 1.04451, 1.00296, 0.92756, 0.33457, 0.58378, -0.08229, 0.95475, 0.97367, 1.12340
20561_00426487-c581-44d6-9ac7-45fc124dc485, 1569.00000, 63233.10000, 0.00000, 2.42048, 3379.50000, 73146.40000, 2.99189, 2.76286, 4116.50000, 34298.70000, 1.84840, 3.31538, -0.00362, -0.00124, -0.00433, 1.18211, 0.99117, 0.82189, -0.66464, 1.87670, 0.65065, 1.20409, 0.93685, 1.28230
20561_8181828a-8bd1-42e8-8c0a-f1ce6230767d, 1596.50000, 98306.50000, 7.87636, 3.43239, 3240.00000, 87810.00000, 11.97025, 4.01843, 3843.00000, 21436.75000, 12.51295, 6.50580, -0.00310, -0.00322, -0.01178, 1.85394, 1.20147, 0.47909, 7.21171, 10.85506, 11.31520, 1.70748, 1.36259, 2.51626
20561_4e9edf96-7ffd-4ca6-a5f4-0e19eb02307a, 1778.50000, 1656.12500, 0.00000, 5000033.31285, 3230.00000, 3594.75000, 5.16466, 76.84140, 3844.00000, 3250.75000, 0.00000, 10000000.00000, 0.00039, -0.00336, -0.01175, -0.00235, 0.00518, -0.01615, -0.66464, 4.04947, -1.19775, 2487318.89347, 26.05584, 3867723.84452
20427_2c30a12b-1158-44be-a6d6-29d652ffbe14, 1775.50000, 64676.50000, 0.58399, 2.23813, 3437.50000, 76127.25000, 1.66121, 3.07903, 4220.50000, 42308.15000, 1.29298, 3.12585, 0.00034, -0.00041, -0.00150, 1.20582, 1.03269, 1.03716, -0.08066, 0.54602, 0.09523, 1.11338, 1.04406, 1.20899
20427_0ebb4707-7e26-4276-8143-22e6846521e5, 1677.50000, 90728.40000, 0.00000, 4.09178, 3430.00000, 83625.00000, 7.77968, 4.25898, 4209.50000, 53714.75000, 7.45280, 4.28410, -0.00154, -0.00052, -0.00180, 1.70712, 1.13932, 1.34807, -0.66464, 6.66449, 6.25505, 2.03550, 1.44416, 1.65697
20427_6f022a8a-d1bd-46bd-8f0e-09335ba00625, 1799.50000, 10160.00000, 0.00000, 4.02361, 3366.00000, 10466.25000, 0.00000, 10.88365, 4214.00000, 10120.40000, 0.00000, 9.02988, 0.00080, -0.00143, -0.00167, 0.16027, 0.10087, 0.16084, -0.66464, -1.11519, -1.19775, 2.00158, 3.69049, 3.49251
20427_de9e8880-1d58-4c38-9362-a385fa5a945e, 1762.50000, 8124.00000, 0.00000, 4.15591, 3405.00000, 9028.12500, 0.00000, 13.03335, 4162.50000, 9108.50000, 0.00000, 10.21711, 0.00009, -0.00087, -0.00308, 0.12195, 0.07989, 0.13468, -0.66464, -1.11519, -1.19775, 2.06740, 4.41943, 3.95169
20427_930d651f-f818-45c8-a139-bbc7ac5d756f, 1672.00000, 8010.50000, 0.00000, 4.10107, 3412.00000, 8834.00000, 0.00000, 12.72670, 4216.50000, 8913.00000, 0.00000, 12.00770, -0.00165, -0.00077, -0.00161, 0.12151, 0.07703, 0.12789, -0.66464, -1.11519, -1.19775, 2.04012, 4.31544, 4.64425
20168_06534514-f15c-4424-bfd4-d623231b6814, 2646.50000, 49532.00000, 0.00000, 1.99729, 4061.50000, 72463.00000, 0.90700, 2.66646, 5260.00000, 36155.50000, 0.00000, 3.00374, 0.00386, 0.00000, -0.00105, 0.98504, 0.98918, 0.90053, 0.00000, -0.04680, 0.00000, 1.01853, 1.02785, 1.03467
20168_c345cac5-ea37-4171-897e-e12ddf3fa7db, 2588.50000, 56984.00000, 0.00000, 2.07505, 4079.50000, 70766.00000, 0.69521, 3.09311, 5209.50000, 33514.50000, 0.00000, 3.27531, 0.00264, 0.00026, -0.00252, 1.14283, 0.96437, 0.82503, 0.00000, -0.25858, 0.00000, 1.05818, 1.19231, 1.12822
20168_e5b9243c-d222-415b-b1a5-b9cc8f6f5f1b, 2413.00000, 58651.50000, 0.00000, 2.17891, 4010.00000, 67376.00000, 0.58133, 3.62495, 5229.00000, 28983.90000, 0.00000, 4.06322, -0.00105, -0.00074, -0.00195, 1.18155, 0.91636, 0.69240, 0.00000, -0.37246, 0.00000, 1.11114, 1.39732, 1.39962
20168_6c86dbf1-6a07-4c82-832e-9062b431423a, 2442.00000, 56387.00000, 0.00000, 2.51309, 4017.50000, 63337.90000, 0.50981, 4.41865, 5121.50000, 23433.10000, 0.00000, 5.42034, -0.00044, -0.00064, -0.00509, 1.13336, 0.85785, 0.53374, 0.00000, -0.44399, 0.00000, 1.28156, 1.70327, 1.86710
20168_2e853648-a124-4eaf-9311-f4e3982f7aa1, 2544.50000, 53946.00000, 0.00000, 2.96474, 3977.50000, 57098.00000, 0.83325, 5.20635, 5082.00000, 19868.10000, 0.00000, 7.16055, 0.00171, -0.00121, -0.00624, 1.07992, 0.76819, 0.43098, 0.00000, -0.12055, 0.00000, 1.51188, 2.00691, 2.46654
20110_b9e2e1c4-d45b-4c64-bef2-792c2c014e51, 3227.50000, 50907.70000, 0.00000, 1.95089, 4573.00000, 68086.85000, 0.00000, 2.88114, 6209.50000, 38958.50000, 0.00000, 2.79125, -0.00134, -0.00083, -0.00581, 1.03557, 0.95517, 1.00713, 0.00000, 0.00000, 0.00000, 0.99054, 1.01384, 1.01021
20110_862828df-d0f3-46ee-881d-f361fa6f45ed, 3263.50000, 52490.50000, 0.00000, 2.07332, 4601.50000, 69313.90000, 0.83064, 2.85848, 6251.50000, 38716.75000, 0.00000, 3.06609, -0.00055, -0.00040, -0.00452, 1.06916, 0.97319, 0.99841, 0.00000, 0.83064, 0.00000, 1.05271, 1.00587, 1.10968
20110_549a1fc4-3030-4de2-b35d-4960a10f2a43, 3087.00000, 51588.00000, 0.00000, 2.59021, 4564.00000, 64674.10000, 0.44556, 3.79780, 6136.50000, 32884.65000, 0.00000, 4.44346, -0.00439, -0.00096, -0.00806, 1.05340, 0.90398, 0.82259, 0.00000, 0.44556, 0.00000, 1.31515, 1.33640, 1.60818
20110_ac6abbee-2a79-41b0-b64a-6b8b0ed06651, 3161.00000, 53755.10000, 0.00000, 3.31146, 4468.00000, 67331.90000, 5.99539, 5.68201, 6009.50000, 16749.00000, 0.00000, 13.95115, -0.00278, -0.00241, -0.01196, 1.09886, 0.94539, 0.33027, 0.00000, 5.99539, 0.00000, 1.68136, 1.99944, 5.04920
20110_696236ab-edb3-4239-94d0-1ba908ece3ec, 3400.00000, 5010.00000, 0.00000, 5.15740, 4512.50000, 7114.00000, 0.00000, 10.57735, 5729.00000, 4631.00000, 0.00000, 10000000.00000, 0.00241, -0.00174, -0.02059, 0.03497, 0.03912, -0.03377, 0.00000, 0.00000, 0.00000, 2.61861, 3.72205, 3619202.03833
