plate,well-row,well-column,id_mixture,id_chemical         ,compound common name,SMILES,cherry_testname     ,cherry-error-code     ,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire_testname  ,sapphire-error-code  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus_testname     ,venus-error-code    ,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,plate layout,study,volume,concentration
2924,A,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1450.5,81252.8,1.54213,1.89595,SAPPHIRE405X384,0,3427,97647.5,2.25667,2.88824,VENUS500X384,0,3094.5,61943.8,1.49079,2.58325,1456,1005,0,0
2924,A,7,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1508,71811,1.44358,1.91905,SAPPHIRE405X384,0,3412,93731.5,2.00919,2.87901,VENUS500X384,0,3202.5,55584.8,1.2196,2.6197,1456,1005,0,0
2924,A,13,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1523.5,66087.8,1.18205,1.9345,SAPPHIRE405X384,0,3705.5,94492.5,1.88225,2.92063,VENUS500X384,0,3354,50586,1.27182,2.64304,1456,1005,0,0
2924,A,19,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1637.5,64786.5,1.27819,1.97459,SAPPHIRE405X384,0,3590,93478.5,1.74179,2.91726,VENUS500X384,0,3434.5,53282,1.1805,2.62794,1456,1005,0,0
2924,B,6,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1172.5,62262.5,1.14056,1.81017,SAPPHIRE405X384,0,3450,90313.5,1.7947,2.94372,VENUS500X384,0,3136,50175.5,1.20558,2.62865,1456,1005,0,0
2924,B,12,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1425.5,60971.2,1.32188,1.88685,SAPPHIRE405X384,0,3479,88321.8,2.03919,2.89467,VENUS500X384,0,3224,46807.8,1.17896,2.68914,1456,1005,0,0
2924,B,18,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1589.5,61875.5,1.32387,1.92882,SAPPHIRE405X384,0,3436,89216.8,1.75053,2.9405,VENUS500X384,0,3242,49062.5,1.12234,2.65637,1456,1005,0,0
2924,B,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1463,66358.5,0,2.20482,SAPPHIRE405X384,0,3810,98242,1.85704,2.91052,VENUS500X384,0,3570,53313.8,1.21398,2.65213,1456,1005,0,0
2924,C,5,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1571,65752,1.63369,1.86078,SAPPHIRE405X384,0,3513.5,92690.5,1.76349,2.93356,VENUS500X384,0,3279,51853,1.23929,2.66335,1456,1005,0,0
2924,C,11,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1553,59055.5,1.56734,1.91036,SAPPHIRE405X384,0,3457,86694.8,1.8504,2.9437,VENUS500X384,0,3101.5,44400.2,1.23947,2.67886,1456,1005,0,0
2924,C,17,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1290,59588,0.717497,1.96217,SAPPHIRE405X384,0,3478.5,89124.2,1.79237,2.90403,VENUS500X384,0,3239.5,47623.8,1.19628,2.62996,1456,1005,0,0
2924,C,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1590,63110,1.33985,1.93464,SAPPHIRE405X384,0,3724,94502,1.84675,2.92361,VENUS500X384,0,3453.5,50319,1.28069,2.67226,1456,1005,0,0
2924,D,4,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1228.5,62968.5,1.08294,1.91155,SAPPHIRE405X384,0,3442.5,85145.2,2.03574,2.92314,VENUS500X384,0,3220.5,51238.8,1.20923,2.65288,1456,1005,0,0
2924,D,10,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1402,59657.2,1.20361,1.98162,SAPPHIRE405X384,0,3818.5,85852,2.47861,2.89724,VENUS500X384,0,3241.5,47950.8,1.44485,2.62592,1456,1005,0,0
2924,D,16,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1408.5,54607,1.32157,1.93008,SAPPHIRE405X384,0,3251,84734,1.54619,2.97516,VENUS500X384,0,3207,46502,1.2376,2.64099,1456,1005,0,0
2924,D,22,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1532,60914.2,1.56236,1.8296,SAPPHIRE405X384,0,3643.5,90894.8,1.838,2.93876,VENUS500X384,0,3336,47853.5,1.26256,2.6969,1456,1005,0,0
2924,E,3,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1283.5,67193.5,1.38008,1.93185,SAPPHIRE405X384,0,3434,90510,2.3012,2.90878,VENUS500X384,0,3084,52924,1.48773,2.62936,1456,1005,0,0
2924,E,9,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1478,63293.2,1.61564,1.91362,SAPPHIRE405X384,0,3182.5,84903.5,1.80833,2.93855,VENUS500X384,0,3116.5,48645,1.43239,2.58985,1456,1005,0,0
2924,E,15,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1521.5,56118.5,1.05867,1.99755,SAPPHIRE405X384,0,3457,89572,1.49087,2.93815,VENUS500X384,0,3150.5,44529.2,0.961552,2.63323,1456,1005,0,0
2924,E,21,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1578,60562.2,1.26392,1.97434,SAPPHIRE405X384,0,3622.5,88536,2.07378,2.80735,VENUS500X384,0,3345.5,48076.5,1.09681,2.67491,1456,1005,0,0
2924,F,2,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1254,65996.5,0.906617,1.95141,SAPPHIRE405X384,0,3623.5,91258.5,1.89693,2.9766,VENUS500X384,0,3341.5,51609,1.27974,2.73063,1456,1005,0,0
2924,F,8,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1382,59230.8,1.34901,1.89547,SAPPHIRE405X384,0,3218.5,89541.5,1.74747,2.85999,VENUS500X384,0,3113,46981,1.17095,2.6632,1456,1005,0,0
2924,F,14,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1331.5,55886,1.34706,1.8848,SAPPHIRE405X384,0,3242,86372.5,1.81191,2.83269,VENUS500X384,0,2870,44999.5,0.787875,2.68615,1456,1005,0,0
2924,F,20,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1321,61355.8,0.743758,1.97244,SAPPHIRE405X384,0,3517.5,88359.2,1.89773,2.91736,VENUS500X384,0,3325.5,47591,1.3363,2.62939,1456,1005,0,0
2924,G,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1106.5,78208.5,0.903649,1.91052,SAPPHIRE405X384,0,3421,94373.2,2.16217,2.99695,VENUS500X384,0,3065,56656.8,1.45766,2.67349,1456,1005,0,0
2924,G,7,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1582,62027.5,1.77338,1.91496,SAPPHIRE405X384,0,3198.5,87690.5,1.74998,2.92253,VENUS500X384,0,3222.5,48981,1.41315,2.63644,1456,1005,0,0
2924,G,13,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1506.5,56942,1.15208,1.99096,SAPPHIRE405X384,0,4030.5,90241.5,2.23397,2.88652,VENUS500X384,0,3838.5,45697,1.77096,2.65541,1456,1005,0,0
2924,G,19,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1487.5,61622.2,1.30369,1.86606,SAPPHIRE405X384,0,3659.5,89570.2,1.87783,2.91678,VENUS500X384,0,3435.5,49030,1.17798,2.67758,1456,1005,0,0
2924,H,6,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1443.5,60649.5,1.3021,1.97224,SAPPHIRE405X384,0,3373.5,88234,1.57019,2.98507,VENUS500X384,0,3280,48241.2,1.20794,2.67852,1456,1005,0,0
2924,H,12,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1386.5,57400,1.25952,1.92074,SAPPHIRE405X384,0,3937,85735,2.29206,2.9724,VENUS500X384,0,3900,46300.5,2.01195,2.60522,1456,1005,0,0
2924,H,18,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1389.5,61583.5,0.960124,2.00609,SAPPHIRE405X384,0,3441.5,85635,1.88234,2.92207,VENUS500X384,0,3257,47657,1.18395,2.68655,1456,1005,0,0
