plate,well-row,well-column,id_mixture,id_chemical         ,compound common name,SMILES,cherry_testname     ,cherry-error-code     ,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire_testname  ,sapphire-error-code  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus_testname     ,venus-error-code    ,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,concentration
2863,A,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1602,35385,1.56323,1.99128,SAPPHIRE405X384,0,3082.5,68664.5,1.41583,2.84917,VENUS500X384,0,3276.5,39237.2,0.611573,2.60841,
2863,A,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1588,30456.5,1.17448,2.07005,SAPPHIRE405X384,0,3149.5,67359,1.67612,2.74785,VENUS500X384,0,3340.5,37604,0.611005,2.58696,
2863,A,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1371,34611,0.947614,1.94344,SAPPHIRE405X384,0,3078,72855.5,1.43402,2.75624,VENUS500X384,0,3249,41140.5,0.574767,2.552,
2863,B,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1363.5,32796,1.33041,1.91343,SAPPHIRE405X384,0,3178,74825.5,1.77837,2.70107,VENUS500X384,0,3268.5,38842,0.600814,2.58415,
2863,B,2,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1387,28020.8,1.05261,2.02255,SAPPHIRE405X384,0,3123.5,65510.2,1.75014,2.71562,VENUS500X384,0,3302.5,33841.2,0.797247,2.56176,
2863,B,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1437.5,30576.2,0.973286,2.04746,SAPPHIRE405X384,0,3244.5,67529,1.78078,2.73702,VENUS500X384,0,4088.5,37030.2,1.50207,2.51624,
2863,B,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1523,30934.2,1.42096,1.96576,SAPPHIRE405X384,0,3212.5,70680,1.51223,2.78192,VENUS500X384,0,3388,38823.5,0.606266,2.63418,
2863,C,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1338,28390.2,1.0018,1.98498,SAPPHIRE405X384,0,3147.5,66071,1.80123,2.71053,VENUS500X384,0,3322.5,35987,0.590649,2.61834,
2863,C,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1441,29038.2,1.27986,2.00483,SAPPHIRE405X384,0,3155.5,65354.5,1.80546,2.69475,VENUS500X384,0,3364.5,36908.8,0.58976,2.59205,
2863,C,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1500,31056.5,1.64539,1.82341,SAPPHIRE405X384,0,3156.5,69118.5,1.67229,2.72165,VENUS500X384,0,3304.5,38056.8,0.618522,2.60069,
2863,D,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1386,29886.8,1.28266,1.97439,SAPPHIRE405X384,0,3108.5,64910.5,1.80759,2.72792,VENUS500X384,0,3312,37272,0.637864,2.55675,
2863,D,2,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1345,26558.5,1.07163,1.9646,SAPPHIRE405X384,0,3137.5,63352.5,1.78294,2.72751,VENUS500X384,0,3274.5,33032.2,0.747685,2.58495,
2863,D,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1477,27322.2,1.65805,1.77955,SAPPHIRE405X384,0,3125.5,65449.5,1.78467,2.64993,VENUS500X384,0,3236,35239,0.606877,2.54873,
2863,D,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1535,29723.8,1.83916,1.87106,SAPPHIRE405X384,0,3192,67331.2,1.69636,2.74827,VENUS500X384,0,3369.5,37304.5,0.65597,2.56326,
2863,E,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1387,28570.8,1.09541,2.03488,SAPPHIRE405X384,0,3063.5,64342.5,1.72107,2.7315,VENUS500X384,0,3277,36091.5,0.583706,2.56223,
