id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2,venus-doubletime,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus,Label
20110,1954.50000,44467.00000,0.60662,1.87155,4269.00000,73865.00000,1.41343,3.30767,3827.50000,29785.00000,1.21839,2.54209,-0.00012,0.00063,0.00050,0.97988,1.03740,0.96285,0.60662,0.29004,0.03725,0.98592,1.02276,1.05144,Inactive
20110,2175.50000,45134.50000,1.06328,1.85790,4301.50000,69317.00000,1.44273,3.22626,3789.50000,30470.00000,0.60192,2.89058,0.00498,0.00112,-0.00091,0.99017,0.96913,0.98967,1.06328,0.31935,-0.57921,0.97873,0.99759,1.19557,Inactive
20110,1991.00000,42948.75000,0.00000,2.38086,4229.50000,73621.00000,2.03099,3.43078,3864.50000,31499.50000,1.03464,3.31281,0.00073,0.00004,0.00187,0.94404,1.03435,1.02508,0.00000,0.90760,-0.14650,1.25423,1.06083,1.37021,Inactive
20110,2022.00000,33007.75000,0.00000,4.07798,4288.00000,72222.25000,3.95753,4.83022,3733.50000,27941.00000,1.30136,6.65020,0.00144,0.00092,-0.00299,0.71420,1.01263,0.89794,0.00000,2.83415,0.12023,2.14826,1.49355,2.75060,Inactive
20168,1913.50000,45189.50000,0.58976,1.80300,4124.50000,69269.00000,1.48198,3.25850,3735.00000,28358.50000,1.14268,2.59255,-0.00106,-0.00152,-0.00293,0.99748,0.97105,0.91337,0.58976,0.35860,-0.03845,0.94981,1.00756,1.07231,Inactive
20168,2071.00000,46948.25000,0.54037,2.01814,4154.50000,69092.00000,1.56758,3.52821,3721.50000,26757.00000,0.92060,3.12200,0.00257,-0.00107,-0.00343,1.03438,0.96796,0.85446,0.54037,0.44420,-0.26054,1.06315,1.09096,1.29129,Inactive
20168,1886.50000,43725.75000,0.00000,2.44003,4209.50000,64666.50000,2.47210,3.89844,3684.50000,21723.50000,0.60712,4.23301,-0.00168,-0.00025,-0.00480,0.96436,0.90118,0.66913,0.00000,1.34871,-0.57402,1.28540,1.20544,1.75082,Inactive
20168,2038.00000,39654.25000,0.15050,2.94426,4136.50000,57360.25000,3.12429,4.71466,3642.00000,18605.50000,0.91493,5.45362,0.00181,-0.00134,-0.00638,0.86702,0.79336,0.55505,0.15050,2.00091,-0.26620,1.55102,1.45782,2.25568,Inactive
20248,2071.50000,46221.25000,0.00000,2.04135,4205.00000,67916.25000,1.35629,3.15705,3731.00000,28877.00000,1.07401,2.44201,0.00258,-0.00032,-0.00308,1.01762,0.94968,0.93275,0.00000,0.23291,-0.10712,1.07538,0.97619,1.01004,Inactive
20248,2056.00000,47030.50000,1.10591,1.72655,4247.00000,67897.00000,1.04464,3.26824,3878.00000,28982.00000,1.18553,2.43900,0.00222,0.00031,0.00237,1.03663,0.94877,0.93119,1.10591,-0.07874,0.00440,0.90954,1.01057,1.00880,Inactive
20248,1986.50000,48400.75000,0.00000,1.95361,4227.00000,62974.00000,1.10467,3.21458,3914.00000,27539.25000,1.21669,2.45587,0.00062,0.00001,0.00371,1.06981,0.87569,0.87634,0.00000,-0.01872,0.03555,1.02916,0.99398,1.01578,Inactive
20248,2073.50000,43461.50000,0.00000,2.00863,4230.00000,54420.50000,1.49985,3.05184,3787.00000,23731.50000,0.50625,2.68264,0.00263,0.00005,-0.00100,0.95396,0.74814,0.73981,0.00000,0.37647,-0.67488,1.05814,0.94366,1.10957,Inactive
20248,2003.50000,35404.50000,0.33341,1.92601,4296.00000,40880.00000,1.61629,2.99424,3783.00000,17292.00000,1.01651,2.46992,0.00101,0.00104,-0.00115,0.76987,0.54532,0.50109,0.33341,0.49291,-0.16463,1.01462,0.92585,1.02158,Inactive
20484,2156.00000,46764.50000,0.71814,1.84187,4274.00000,71711.50000,1.08969,3.22496,3883.50000,31603.25000,1.07414,2.49609,0.00453,0.00071,0.00258,1.02819,1.00523,1.02822,0.71814,-0.03370,-0.10700,0.97029,0.99719,1.03241,Inactive
20484,1995.00000,46880.50000,0.00000,1.96959,4254.00000,71717.50000,1.07031,3.30030,3896.00000,31350.00000,0.58074,2.73471,0.00082,0.00041,0.00304,1.03457,1.00562,1.01836,0.00000,-0.05307,-0.60039,1.03757,1.02048,1.13110,Inactive
20484,1964.00000,44665.50000,0.58037,1.83719,4322.00000,70660.50000,1.19291,3.21773,3930.00000,30769.50000,1.21240,2.37533,0.00010,0.00142,0.00430,0.98423,0.98885,0.99557,0.58037,0.06953,0.03126,0.96782,0.99495,0.98246,Inactive
20484,2029.00000,44770.00000,0.00000,1.96820,4272.50000,71395.00000,1.17339,3.18140,3942.50000,31208.00000,1.09426,2.51663,0.00160,0.00069,0.00477,0.98514,1.00053,1.01137,0.00000,0.05001,-0.08688,1.03684,0.98372,1.04091,Inactive
20484,2025.00000,45517.50000,1.41357,1.51885,4313.50000,72160.00000,1.12311,3.22312,3947.50000,31514.00000,1.12961,2.46540,0.00151,0.00130,0.00495,1.00247,1.01132,1.02253,1.41357,-0.00027,-0.05153,0.80012,0.99662,1.01972,Inactive
21400,1925.50000,49906.00000,0.00000,2.03886,4256.00000,75428.50000,1.32119,3.14811,3757.50000,33420.00000,0.98908,2.46085,-0.00078,0.00044,-0.00210,1.10591,1.06090,1.10028,0.00000,0.19781,-0.19205,1.07406,0.97343,1.01783,Inactive
21400,2049.00000,51492.50000,1.05508,1.81477,4210.00000,77599.50000,1.12944,3.16657,3768.50000,33582.00000,0.97331,2.56463,0.00206,-0.00025,-0.00169,1.13963,1.09395,1.10588,1.05508,0.00605,-0.20782,0.95602,0.97913,1.06076,Inactive
21400,2023.50000,75667.00000,0.00000,2.08523,4292.50000,91647.00000,1.71557,2.94377,3732.50000,47462.75000,1.09316,2.38985,0.00148,0.00098,-0.00302,1.69742,1.30211,1.62210,0.00000,0.59219,-0.08797,1.09849,0.91024,0.98847,Inactive
21400,2087.50000,106799.50000,0.00000,2.02430,4274.00000,100294.00000,1.49048,3.08993,3828.50000,68885.75000,0.70859,2.58804,0.00295,0.00071,0.00054,2.41353,1.43128,2.41319,0.00000,0.36710,-0.47254,1.06639,0.95544,1.07044,Inactive
21400,2172.00000,128205.00000,0.41610,2.43948,4248.00000,109661.00000,2.42316,3.26983,3686.50000,84215.50000,1.26185,2.99369,0.00490,0.00032,-0.00473,2.90496,1.57129,2.98709,0.41610,1.29978,0.08071,1.28511,1.01106,1.23823,Inactive
21625,2004.00000,45561.00000,0.65813,1.79981,4230.00000,72646.00000,1.14762,3.20961,3762.00000,31747.50000,1.13774,2.40940,0.00103,0.00005,-0.00193,1.00395,1.01981,1.03808,0.65813,0.02424,-0.04339,0.94813,0.99244,0.99655,Inactive
21625,1957.00000,45193.25000,0.00000,2.05421,4233.00000,71352.00000,1.24542,3.25284,3799.50000,31003.00000,1.07548,2.49932,-0.00006,0.00010,-0.00054,0.99656,1.00048,1.00907,0.00000,0.12204,-0.10566,1.08215,1.00581,1.03374,Inactive
21625,2055.00000,44985.75000,0.74427,1.71655,4243.50000,70731.00000,1.34540,3.18829,3832.00000,30172.75000,1.09344,2.47638,0.00220,0.00025,0.00067,0.98952,0.99107,0.97707,0.74427,0.22202,-0.08769,0.90427,0.98585,1.02426,Inactive
21625,2011.50000,44755.00000,0.00000,1.92190,4290.50000,70636.00000,1.20662,3.23738,3885.00000,30122.50000,1.17241,2.39952,0.00120,0.00095,0.00263,0.98520,0.98895,0.97324,0.00000,0.08323,-0.00873,1.01245,1.00103,0.99247,Inactive
21625,1997.50000,45294.25000,1.40070,1.52644,4225.00000,71017.00000,1.05331,3.27722,3868.50000,30001.00000,0.59690,2.71088,0.00088,-0.00002,0.00202,0.99795,0.99561,0.96934,1.40070,-0.07007,-0.58423,0.80412,1.01335,1.12125,Inactive
21658,2029.00000,45735.25000,0.00000,1.92823,4250.50000,69106.75000,1.12328,3.25695,3808.00000,30660.75000,1.16261,2.43582,0.00160,0.00036,-0.00022,1.00739,0.96675,0.99606,0.00000,-0.00010,-0.01853,1.01579,1.00708,1.00748,Inactive
21658,2076.00000,49066.00000,0.74944,1.67453,4221.00000,68778.75000,1.28053,3.17778,3834.00000,31751.00000,0.62288,2.63213,0.00269,-0.00008,0.00074,1.08308,0.96230,1.03554,0.74944,0.15715,-0.55825,0.88213,0.98260,1.08868,Inactive
