id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2,venus-doubletime,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus
20134_c6b404cf-a051-4976-8f04-fded6f4beb41, 1794.00000, 44927.00000, 0.79225, 1.53577, 3328.00000, 65178.00000, 1.08367, 3.01677, 3915.50000, 22453.50000, 0.99934, 3.28764, -0.00060, 0.00041, 0.00043, 0.97027, 0.98597, 1.06595, 0.79225, 0.00475, 0.03571, 0.83353, 1.00934, 1.03197
20134_b17c2b74-7f49-45fa-b4f5-18e4917e9e9a, 1806.50000, 44510.50000, 0.60202, 2.06689, 3276.00000, 65037.75000, 1.00854, 3.08404, 3908.00000, 23266.25000, 0.51158, 3.69529, -0.00031, -0.00042, 0.00000, 0.96062, 0.98456, 1.11312, 0.60202, -0.07038, -0.45205, 1.12179, 1.03185, 1.15993
20134_a928d6e1-4f36-4d32-b7ab-a621990d8220, 1838.50000, 40396.75000, 0.00000, 2.36026, 3286.00000, 67208.50000, 1.59416, 3.00962, 3869.00000, 24266.00000, 1.00699, 3.29941, 0.00040, -0.00026, -0.00224, 0.86736, 1.01901, 1.17285, 0.00000, 0.51524, 0.04336, 1.28102, 1.00695, 1.03566
20134_ca1f4f39-641b-467b-9d46-a3759c0c04f3, 1817.50000, 29418.75000, 0.78419, 3.48302, 3235.50000, 57359.25000, 3.23963, 3.94606, 3793.00000, 36585.25000, 0.85724, 3.48078, -0.00007, -0.00107, -0.00661, 0.62088, 0.86280, 1.88559, 0.78419, 2.16071, -0.10639, 1.89039, 1.32026, 1.09259
20134_7662dd56-39db-49b7-a3a3-4bd8219116be, 1760.50000, 16361.50000, 10.11156, 4.67346, 3245.50000, 26374.25000, 13.58805, 5.89577, 3752.50000, 78429.25000, 4.19737, 3.83052, -0.00135, -0.00091, -0.00894, 0.32845, 0.36870, 4.29399, 10.11156, 12.50913, 3.23374, 2.53650, 1.97259, 1.20238
20449_14679548-ba87-445d-b66e-592759d6275d, 1863.00000, 24203.50000, 0.77084, 1.71112, 3262.50000, 43164.75000, 1.04413, 3.24134, 3918.50000, 27514.50000, 0.84001, 3.54214, 0.00096, -0.00064, 0.00060, 0.50254, 0.63609, 1.35679, 0.77084, -0.03479, -0.12362, 0.92870, 1.08448, 1.11185
20449_bfc91d94-b43e-4dbc-af92-5e54e41559d3, 1763.00000, 18043.50000, 0.00000, 1.94944, 3353.50000, 37866.25000, 1.06513, 3.23577, 3930.00000, 27827.00000, 0.83341, 3.45454, -0.00129, 0.00081, 0.00127, 0.36623, 0.55018, 1.37410, 0.00000, -0.01379, -0.13023, 1.05805, 1.08262, 1.08436
20449_0c86016e-d5ee-4c99-bbe3-3ba9cea8bf3b, 1814.50000, 15553.00000, 0.00000, 1.99688, 3327.50000, 26125.25000, 1.14310, 3.19171, 3988.00000, 33214.00000, 0.83317, 3.45177, -0.00013, 0.00040, 0.00460, 0.30904, 0.36343, 1.68052, 0.00000, 0.06417, -0.13047, 1.08379, 1.06787, 1.08349
20449_a7639bd5-7008-41f3-a1ef-42020b7be564, 1778.00000, 18021.00000, 0.00000, 2.03670, 3287.00000, 24313.50000, 1.08200, 3.22027, 3897.50000, 31977.00000, 0.44989, 3.67945, -0.00096, -0.00025, -0.00060, 0.36538, 0.33519, 1.61460, 0.00000, 0.00308, -0.51375, 1.10541, 1.07743, 1.15496
20449_65a1635a-9d24-43bb-81e9-35575e4710ba, 1721.50000, 21052.75000, 0.00000, 1.94268, 3309.50000, 25390.25000, 1.03923, 3.24448, 3934.50000, 24134.50000, 0.80674, 3.50363, -0.00223, 0.00011, 0.00152, 0.43485, 0.35200, 1.16152, 0.00000, -0.03970, -0.15690, 1.05438, 1.08553, 1.09977
